order_id,cust_id,gender,Age,Profession,first_name,last_name,prod_id,product,product_category,product_sub_category,store_name,store_address,country,order_status,delivery_type,order_date,delivery_date,review_score,price,Spending Score (1-100),Quantity
1,C_012,Female,19,Healthcare,Emily,Jerry,P_1001,Smartphone,Electronics,Standard,Nicosia Mall,High St,Cyprus,Cancelled,In-Store,2024-01-02,2024-01-04,2,200,39,1
2,C_026,Male,21,Barista,Michael,Canfield,P_1002,Headphones,Accessories,Budget,Amsterdam Mall,Market Rd,Australia,Returned,Pickup,2024-01-03,2024-01-06,3,25,81,1
3,C_028,Female,20,Engineer,Olivia,Taylor,P_1003,Shoes,Fashion,Premium,Berlin Mitte,Broadway,Germany,Processing,Online,2024-01-04,2024-01-08,4,350,6,1
4,C_015,Female,48,Doctor,Helen,Renn,P_1004,Backpack,Fashion,Standard,Berlin Mitte,Main St,USA,Delivered,In-Store,2024-01-05,2024-01-10,5,35,77,1
5,C_009,Female,45,Doctor,Debby,Black,P_1005,Tablet,Accessories,Budget,Nicosia Mall,High St,Cyprus,Cancelled,Pickup,2024-01-06,2024-01-12,1,499,40,1
6,C_008,Male,22,Executive,Dean,Kelly,P_1006,Laptop,Electronics,Premium,Nicosia Mall,Market Rd,Cyprus,Returned,Online,2024-01-07,2024-01-14,2,620,76,1
7,C_014,Female,35,Executive,Hannah,Muller,P_1001,Smartphone,Electronics,Standard,New York Mall,Broadway,USA,Processing,In-Store,2024-01-08,2024-01-16,3,200,6,1
8,C_018,Male,64,Healthcare,James,Smith,P_1002,Headphones,Accessories,Budget,Nicosia Mall,Main St,Cyprus,Delivered,Pickup,2024-01-09,2024-01-18,4,25,94,1
9,C_027,Female,30,Homemaker,Nina,Martin,P_1003,Shoes,Fashion,Premium,Berlin Mitte,High St,Germany,Cancelled,Online,2024-01-10,2024-01-20,5,350,3,1
10,C_020,Male,39,Healthcare,Joe,Patty,P_1004,Backpack,Fashion,Standard,London West,Market Rd,UK,Returned,In-Store,2024-01-11,2024-01-12,1,35,72,1
11,C_028,Female,20,Engineer,Olivia,Taylor,P_1005,Tablet,Accessories,Budget,Berlin Mitte,Broadway,Germany,Processing,Pickup,2024-01-12,2024-01-14,2,499,14,1
12,C_015,Female,48,Doctor,Helen,Renn,P_1006,Laptop,Electronics,Premium,Berlin Mitte,Main St,USA,Delivered,Online,2024-01-13,2024-01-16,3,620,99,1
13,C_010,Male,26,Lawyer,Dunn,Ryan,P_1001,Smartphone,Electronics,Standard,Nicosia Mall,High St,Cyprus,Cancelled,In-Store,2024-01-14,2024-01-18,4,200,15,1
14,C_008,Male,22,Executive,Dean,Kelly,P_1002,Headphones,Accessories,Budget,Nicosia Mall,Market Rd,Cyprus,Returned,Pickup,2024-01-15,2024-01-20,5,25,77,2
15,C_014,Female,35,Executive,Hannah,Muller,P_1003,Shoes,Fashion,Premium,New York Mall,Broadway,USA,Processing,Online,2024-01-16,2024-01-22,1,350,13,1
16,C_018,Male,64,Healthcare,James,Smith,P_1004,Backpack,Fashion,Standard,Nicosia Mall,Main St,Cyprus,Delivered,In-Store,2024-01-17,2024-01-24,2,35,79,1
17,C_012,Female,19,Healthcare,Emily,Jerry,P_1005,Tablet,Accessories,Budget,Nicosia Mall,High St,Cyprus,Cancelled,Pickup,2024-01-18,2024-01-26,3,499,35,1
18,C_026,Male,21,Barista,Michael,Canfield,P_1006,Laptop,Electronics,Premium,Amsterdam Mall,Market Rd,Australia,Returned,Online,2024-01-19,2024-01-28,4,620,66,1
19,C_025,Male,24,Barista,Martin,Taylor,P_1001,Smartphone,Electronics,Standard,Berlin Mitte,Broadway,Germany,Processing,In-Store,2024-01-20,2024-01-30,5,200,29,1
20,C_015,Female,48,Doctor,Helen,Renn,P_1002,Headphones,Accessories,Budget,Berlin Mitte,Main St,USA,Delivered,Pickup,2024-01-21,2024-01-22,1,25,98,2
21,C_020,Male,39,Healthcare,Joe,Patty,P_1003,Shoes,Fashion,Premium,London West,High St,UK,Cancelled,Online,2024-01-22,2024-01-24,2,350,35,1
22,C_008,Male,22,Executive,Dean,Kelly,P_1004,Backpack,Fashion,Standard,Nicosia Mall,Market Rd,Cyprus,Returned,In-Store,2024-01-23,2024-01-26,3,35,73,1
23,C_014,Female,35,Executive,Hannah,Muller,P_1005,Tablet,Accessories,Budget,New York Mall,Broadway,USA,Processing,Pickup,2024-01-24,2024-01-28,4,499,5,1
24,C_018,Male,64,Healthcare,James,Smith,P_1006,Laptop,Electronics,Premium,Nicosia Mall,Main St,Cyprus,Delivered,Online,2024-01-25,2024-01-30,5,620,73,1
25,C_012,Female,19,Healthcare,Emily,Jerry,P_1001,Smartphone,Electronics,Standard,Nicosia Mall,High St,Cyprus,Cancelled,In-Store,2024-01-26,2024-02-01,1,200,14,1
26,C_020,Male,39,Healthcare,Joe,Patty,P_1002,Headphones,Accessories,Budget,London West,Market Rd,UK,Returned,Pickup,2024-01-27,2024-02-03,2,25,82,2
27,C_001,Male,37,Artist,Alex,Taylor,P_1003,Shoes,Fashion,Premium,Netherlands Mall,Broadway,Netherlands,Processing,Online,2024-01-28,2024-02-05,3,350,32,1
28,C_015,Female,48,Doctor,Helen,Renn,P_1004,Backpack,Fashion,Standard,Berlin Mitte,Main St,USA,Delivered,In-Store,2024-01-29,2024-02-07,4,35,61,1
29,C_004,Male,33,Barista,Brewster,Michael,P_1005,Tablet,Accessories,Budget,Nicosia Mall,High St,Cyprus,Cancelled,Pickup,2024-01-30,2024-02-09,5,499,31,1
30,C_008,Male,22,Executive,Dean,Kelly,P_1006,Laptop,Electronics,Premium,Nicosia Mall,Market Rd,Cyprus,Returned,Online,2024-01-31,2024-02-01,1,620,87,2
31,C_014,Female,35,Executive,Hannah,Muller,P_1001,Smartphone,Electronics,Standard,New York Mall,Broadway,USA,Processing,In-Store,2024-02-01,2024-02-03,2,200,4,1
32,C_018,Male,64,Healthcare,James,Smith,P_1002,Headphones,Accessories,Budget,Nicosia Mall,Main St,Cyprus,Delivered,Pickup,2024-02-02,2024-02-05,3,25,73,2
33,C_006,Male,25,Artist,David,Campbell,P_1003,Shoes,Fashion,Premium,Berlin Mitte,High St,Netherlands,Cancelled,Online,2024-02-03,2024-02-07,4,350,4,1
34,C_026,Male,21,Barista,Michael,Canfield,P_1004,Backpack,Fashion,Standard,Amsterdam Mall,Market Rd,Australia,Returned,In-Store,2024-02-04,2024-02-09,5,35,92,1
35,C_028,Female,20,Engineer,Olivia,Taylor,P_1005,Tablet,Accessories,Budget,Berlin Mitte,Broadway,Germany,Processing,Pickup,2024-02-05,2024-02-11,1,499,14,1
36,C_015,Female,48,Doctor,Helen,Renn,P_1006,Laptop,Electronics,Premium,Berlin Mitte,Main St,USA,Delivered,Online,2024-02-06,2024-02-13,2,620,81,1
37,C_027,Female,30,Homemaker,Nina,Martin,P_1001,Smartphone,Electronics,Standard,Berlin Mitte,High St,Germany,Cancelled,In-Store,2024-02-07,2024-02-15,3,200,17,1
38,C_008,Male,22,Executive,Dean,Kelly,P_1002,Headphones,Accessories,Budget,Nicosia Mall,Market Rd,Cyprus,Returned,Pickup,2024-02-08,2024-02-17,4,25,73,2
39,C_014,Female,35,Executive,Hannah,Muller,P_1003,Shoes,Fashion,Premium,New York Mall,Broadway,USA,Processing,Online,2024-02-09,2024-02-19,5,350,26,1
40,C_018,Male,64,Healthcare,James,Smith,P_1004,Backpack,Fashion,Standard,Nicosia Mall,Main St,Cyprus,Delivered,In-Store,2024-02-10,2024-02-11,1,35,75,1
41,C_012,Female,19,Healthcare,Emily,Jerry,P_1005,Tablet,Accessories,Budget,Nicosia Mall,High St,Cyprus,Cancelled,Pickup,2024-02-11,2024-02-13,2,499,35,1
42,C_019,Female,34,Lawyer,Jessica,Danforth,P_1006,Laptop,Electronics,Premium,New York Mall,Market Rd,USA,Returned,Online,2024-02-12,2024-02-15,3,620,92,1
43,C_013,Male,54,Entertainment,Glen,Pokk,P_1001,Smartphone,Electronics,Standard,Amsterdam Mall,Broadway,Australia,Processing,In-Store,2024-02-13,2024-02-17,4,200,36,1
44,C_015,Female,48,Doctor,Helen,Renn,P_1002,Headphones,Accessories,Budget,Berlin Mitte,Main St,USA,Delivered,Pickup,2024-02-14,2024-02-19,5,25,61,2
45,C_021,Male,52,Healthcare,Josh,Walker,P_1003,Shoes,Fashion,Premium,Nicosia Mall,High St,Cyprus,Cancelled,Online,2024-02-15,2024-02-21,1,350,28,1
46,C_008,Male,22,Executive,Dean,Kelly,P_1004,Backpack,Fashion,Standard,Nicosia Mall,Market Rd,Cyprus,Returned,In-Store,2024-02-16,2024-02-23,2,35,65,1
47,C_014,Female,35,Executive,Hannah,Muller,P_1005,Tablet,Accessories,Budget,New York Mall,Broadway,USA,Processing,Pickup,2024-02-17,2024-02-25,3,499,55,1
48,C_018,Male,64,Healthcare,James,Smith,P_1006,Laptop,Electronics,Premium,Nicosia Mall,Main St,Cyprus,Delivered,Online,2024-02-18,2024-02-27,4,620,47,1
49,C_012,Female,19,Healthcare,Emily,Jerry,P_1001,Smartphone,Electronics,Standard,Nicosia Mall,High St,Cyprus,Cancelled,In-Store,2024-02-19,2024-02-29,5,200,42,1
50,C_026,Male,21,Barista,Michael,Canfield,P_1002,Headphones,Accessories,Budget,Amsterdam Mall,Market Rd,Australia,Returned,Pickup,2024-02-20,2024-02-21,1,25,42,2
51,C_019,Female,34,Lawyer,Jessica,Danforth,P_1003,Shoes,Fashion,Premium,New York Mall,Broadway,USA,Processing,Online,2024-02-21,2024-02-23,2,350,52,1
52,C_010,Male,26,Lawyer,Dunn,Ryan,P_1004,Backpack,Fashion,Standard,Nicosia Mall,Main St,Cyprus,Delivered,In-Store,2024-02-22,2024-02-25,3,35,60,1
53,C_009,Female,45,Doctor,Debby,Black,P_1005,Tablet,Accessories,Budget,Nicosia Mall,High St,Cyprus,Cancelled,Pickup,2024-02-23,2024-02-27,4,499,54,1
54,C_008,Male,22,Executive,Dean,Kelly,P_1006,Laptop,Electronics,Premium,Nicosia Mall,Market Rd,Cyprus,Returned,Online,2024-02-24,2024-02-29,5,620,60,1
55,C_014,Female,35,Executive,Hannah,Muller,P_1001,Smartphone,Electronics,Standard,New York Mall,Broadway,USA,Processing,In-Store,2024-02-25,2024-03-02,1,200,45,1
56,C_018,Male,64,Healthcare,James,Smith,P_1002,Headphones,Accessories,Budget,Nicosia Mall,Main St,Cyprus,Delivered,Pickup,2024-02-26,2024-03-04,2,25,41,2
57,C_013,Male,54,Entertainment,Glen,Pokk,P_1003,Shoes,Fashion,Premium,Amsterdam Mall,High St,Australia,Cancelled,Online,2024-02-27,2024-03-06,3,350,50,1
58,C_019,Female,34,Lawyer,Jessica,Danforth,P_1004,Backpack,Fashion,Standard,New York Mall,Market Rd,USA,Returned,In-Store,2024-02-28,2024-03-08,4,35,46,1
59,C_028,Female,20,Engineer,Olivia,Taylor,P_1005,Tablet,Accessories,Budget,Berlin Mitte,Broadway,Germany,Processing,Pickup,2024-02-29,2024-03-10,5,499,51,1
60,C_021,Male,52,Healthcare,Josh,Walker,P_1006,Laptop,Electronics,Premium,Nicosia Mall,Main St,Cyprus,Delivered,Online,2024-03-01,2024-03-02,1,620,46,1
61,C_009,Female,45,Doctor,Debby,Black,P_1001,Smartphone,Electronics,Standard,Nicosia Mall,High St,Cyprus,Cancelled,In-Store,2024-03-02,2024-03-04,2,200,56,1
62,C_008,Male,22,Executive,Dean,Kelly,P_1002,Headphones,Accessories,Budget,Nicosia Mall,Market Rd,Cyprus,Returned,Pickup,2024-03-03,2024-03-06,3,25,55,2
63,C_027,Female,30,Homemaker,Nina,Martin,P_1003,Shoes,Fashion,Premium,Berlin Mitte,Broadway,Germany,Processing,Online,2024-03-04,2024-03-08,4,350,52,1
64,C_002,Male,45,Doctor,Alexander,Smith,P_1004,Backpack,Fashion,Standard,Berlin Mitte,Main St,Germany,Delivered,In-Store,2024-03-05,2024-03-10,5,35,59,1
65,C_012,Female,19,Healthcare,Emily,Jerry,P_1005,Tablet,Accessories,Budget,Nicosia Mall,High St,Cyprus,Cancelled,Pickup,2024-03-06,2024-03-12,1,499,51,1
